Files	SourceLab	Magnification	Stain	Species	Strain	DateAdded	FileSize_bytes_	md5
metestrus/061820 F8_2020_06_23_0342.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:47	4033041	98D5A13CB40CDEE7198EDF3A405D2684
metestrus/062020 F3_2020_06_23_0388.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:36	3984888	334FF9328B179D4CBB67055D7AAB0AB9
metestrus/062020 F3_2020_06_23_0389.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:36	4130606	71A6D818ED046DA354BA8AD6C8755538
metestrus/062020 F3_2020_06_23_0390.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:36	4247469	6F8C9E0C14BFBD62162F389FB0A65AC0
metestrus/062020 F4_2020_06_23_0391.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:37	4267643	E68622A43DD02BF9C3AB65A47ADA81D8
metestrus/062020 F4_2020_06_23_0392.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:36	4138689	32B995866A0DE9E34B0D9228AB8C2BA0
metestrus/062020 F4_2020_06_23_0393.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:36	4363368	8FF7ACCBF37980006D5C325FF5AFE0C0
metestrus/062020 F5_2020_06_23_0394.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:35	4411502	138BBEBFED606D22CE2CDCBB462798AD
metestrus/062020 F5_2020_06_23_0395.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:36	4627568	D41D8CD98F00B204E9800998ECF8427E
metestrus/062020 F5_2020_06_23_0396.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:36	4755914	0C32AED703DDA85DD93EA73F6FD124A7
metestrus/062120 F2_2020_06_23_0417.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:33	4249859	321652A4278F29E674C1B0DDEB1E8D8D
metestrus/062120 F2_2020_06_23_0418.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:32	4402449	671A6F2428A58699843E703102FC340F
metestrus/062120 F3_2020_06_23_0419.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:32	5205121	DAE831444B58FD0ACC634E87E4C6002A
metestrus/062120 F3_2020_06_23_0420.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:33	5476280	F0D3851B77934B73AE21A1E52132D9B3
metestrus/062120 F3_2020_06_23_0421.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:33	5195300	3EB4FAE73116EDA95FC0945F688EB2FC
metestrus/062120 F4_2020_06_23_0422.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:32	4425570	0EAD09AFB2F6C24A16216D41941CDA5F
metestrus/062120 F4_2020_06_23_0423.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:33	4428940	72C302E0A84C108FD7C081C11FDA4554
metestrus/062120 F5_2020_06_23_0427.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:31	4047202	4BBC27F16E4C87051B1C96D3CA16A8E6
metestrus/062120 F6_2020_06_23_0429.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:32	4140927	CFBC8B3D101A74F8CDFE5B2920445127
metestrus/062120 F6_2020_06_23_0430.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:30	4197650	831B05842710454C788CA8D530962CCB
metestrus/062220 F10_2020_06_23_0471.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:26	4174811	D83984C61A4E8FBFD6F864A9D93AEADC
metestrus/062220 F10_2020_06_23_0472.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:25	4155940	EEB9113B6C5CA014EFA879228D970719
metestrus/062220 F10_2020_06_23_0473.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:26	4273275	AA54E15AA4B3D37F395C26CEBB332393
metestrus/062220 F1_2020_06_23_0443.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:28	4257328	E6710EEC50F839B369E449A78489FD90
metestrus/062220 F1_2020_06_23_0444.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:29	4384290	504498C64001CDB31301824E061E9230
metestrus/062220 F1_2020_06_23_0445.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:29	4958750	04E266E46CC2A577F70CD8DCC50AA476
metestrus/081120 309_029.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:09:54	5528040	E944718E8D902B9688860B91ECFCEC21
metestrus/081120 314_042.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:09:55	5621931	99BAC3E49A48F2AED4ECE16BFFE20749
metestrus/081120 319_057.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:09:56	5164444	52BEC1EA29D2D49CBCE1ACDA34574DD0
metestrus/081120 319_058.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:09:56	5177652	CC7D373F7CDC3F425924D2FB3206F487
metestrus/081120 321_065.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:09:56	5458929	AE2F64D02A0B84BC6331DACF8557FA76
metestrus/081120 322_069.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:09:57	5745781	8451EA640583953FFBA48DB86514E993
metestrus/081120 334_112.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:09:50	5782880	4D7E1268F9E1ABFD020D3CA44488C2A2
metestrus/081220 308_155.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:06	5601069	8E0CE2F8F3060AD14060ABCFB5116CDE
metestrus/081220 312_167.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:07	6512446	48FD136C293750D4AAA52622758B7510
metestrus/081320 103_264.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:22	6004752	25DF942133C47A768E079495A15E99FA
metestrus/081320 104_265.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:22	6232473	1E8A33DED0203439E36A2FB5B263B2F1
metestrus/081320 106_272.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:23	6203070	E0E131282B3CD687513E88C115D6984C
metestrus/081320 106_273.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:23	7474346	69D87AFB52229B2D7E906DF32F387237
metestrus/081320 108_277.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:23	6086447	FA1752AD37F286A4FB4434F691A1000F
metestrus/081320 110_285.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:24	5742365	FA4E0C7F976D6479C32535C83A9A0003
metestrus/081320 115_300.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:25	7237942	D28E97F6E69685B8BAD69B0519668BC6
metestrus/081420 103_325.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:36	8413032	1D5B4C762301C7928A5E3BAB8C022A6E
metestrus/081420 103_326.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:36	8281859	B4EA66D39E342C9398EE9F5965717FEF
metestrus/081420 104_328.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:36	8182691	0D36A221E35EAD6186F8BC893A361A66
metestrus/081420 108_340.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:38	8299520	99A0735D6DC7BC6FE711A3D47E97F63A
metestrus/081420 108_341.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:38	8184421	BBADF4D2CBF27D60BB541F6141FF5C2A
metestrus/081420 109_344.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:38	8029983	02FFB12CFA7146FCF07F9D94DD68945C
metestrus/081420 109_345.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:38	8250597	F779B725586408FD08DEF3F233C19A39
metestrus/081420 110_346.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:38	8641227	9E6EE10B177589F1B213E82CF43D180B
metestrus/081420 110_347.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:38	8591031	F737620DADA2BEEF8C5826219F7C143C
metestrus/081420 110_348.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:39	8520905	8126B5764347168FF762466EB37F9E71
metestrus/081420 111_350.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:39	8496635	FC2AEDF6644FA9FCA81C1C6A23D26A7D
metestrus/081420 111_351.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:39	8237534	952EA53A4948A62DE79F800D7BBD46E2
metestrus/081420 113_359.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:39	8156647	C77F975B4CC81C4CF5C8202D7784E310
metestrus/081420 116_367.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:40	7953343	E1B817B9427732A7D73BBD55C87814C4
metestrus/081420 118_374.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:35	8646377	7852DCDD97B3B6506953E9DD9D24EA89
metestrus/081420 119_375.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:35	8272458	2577C99C2DF7868EB1ED8F17463156C1
metestrus/081420 119_378.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:35	8300883	07B58F9E71F9EEA6E0BE4BEA4189DB5A
metestrus/081420 120_379.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:35	8191361	31D76185576481B2A125D3BCAA9FA095
metestrus/081520 102_386.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:56	7959116	FFE140165939E52E1F29F234DD2DB35C
metestrus/081520 105_396.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:58	8384200	CDFC76B0884970445E010CDE7C239586
metestrus/081520 112_416.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:10:59	8188758	C213255BDAC974E5835AD4C9394DD4DA
metestrus/081520 116_428.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:01	8361342	5089B0480E4DA8FC7C18812904482BCE
metestrus/081620 101_444.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:19	8126852	9973F4F20C90E8D0EA93C6338075442F
metestrus/081620 101_445.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:19	8303114	B73D7F4C8A95FAC8615EDE589A373C54
metestrus/081620 101_446.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:19	8113218	AF7B9FA5CDB7A1AA065B51B0098D8A4A
metestrus/081620 106_461.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:21	8103229	F139486663D420142125BD686D1CB098
metestrus/081620 109_470.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:21	7930344	464F95E859B0132F84733BDC63F8E838
metestrus/081620 109_472.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:22	8001571	312EF3F1AC79875739F7949234FA9BF1
metestrus/081620 113_482.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:23	8241005	2DFC41EEAB9FB0FFF8C84301D19E02C4
metestrus/081620 113_483.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:23	8195573	DE006F22AC1CF54395EB0AE9F3C0D326
metestrus/081620 113_484.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:23	8154009	9580CA0E04208FA03FAE7F1F4A52F820
metestrus/081620 116_492.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:24	8745667	01EF741F803808BA80DF288285D84002
metestrus/081620 116_493.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:24	8640788	BDBEA2FA0DBFB609F4A1FFAF5EDE474E
metestrus/081620 120_505.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:19	8269187	CA00269B46A5CECB32ACF155E565C0C8
metestrus/081720 101_508.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:30	8325411	C9F5FD91A31F26C31B1FACCCFD98BD54
metestrus/081720 103_512.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:30	8213870	5A1DE7F6495D70E20DA99CFF8E00AE2A
metestrus/081720 104_515.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:31	8224192	9EEA7EB7D39AA72DEA6E739EA084119E
metestrus/081720 104_517.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:31	8111918	4A76E96556CA3092A5532F964F34A86A
metestrus/081720 107_524.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:32	8571648	952240DA5D8F96DDDE875060248A0215
metestrus/081720 107_525.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:32	8332288	3EDE86DD380893EB301C71AA5EFB7FEA
metestrus/081720 107_526.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:32	8335351	B1A7202C60E1AC207DE166FEC586778D
metestrus/081720 112_541.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:27	8248695	FEF8CE3D201EA01E1BB1AD3E624E7FF9
metestrus/081720 113_543.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:27	8262308	271239942943C33FDCDF67277FFCCF35
metestrus/081720 116_553.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:28	8446102	17C46BD9846B7C8E149A2048D3BEFE79
metestrus/081720 120_564.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:29	8139318	B664FEA5D2B08BE42F5ED75DA4E94491
metestrus/081820 103_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	180798	3981F21C30F692866D7CA23C9CEF51D5
metestrus/081820 104_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	207244	75AAE893469FC3DF3EF94E88916ED50F
metestrus/081820 104_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	179370	F96450979A75B5A7ECFFD145E48EB2AF
metestrus/081820 107_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	183160	475E90E1E0FAB9D212D6E675F3CE4DA5
metestrus/081820 108_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:38	182505	299603BCC571532975181A58690B64C2
metestrus/081820 113_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:38	180166	5B2139CF485F55068D67445A96477F7F
metestrus/081820 114_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:38	186731	5E3944CC823BBAF6FFE48F211E8ADB1D
metestrus/081820 114_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:38	188363	A1E01B57E26A943CA57D93C56C17AAA3
metestrus/081820 117_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	192061	344CBB219EE75ABCD903ADBC717179DC
metestrus/081820 117_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	181420	7CD62D89ACD010604EBDD54A37E13A2B
metestrus/081820 118_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	186580	49BAFA4030D3BB822D5BE01716DE4E59
metestrus/081820 118_3.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	195310	D71F02B0492727260B16D90D1F8A3506
metestrus/081820 119_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	182120	D8B474A8634738A39D071D229811C9CE
metestrus/081820 119_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	173418	0A385DC7E7F0F3F2B37255EB1AB7EF8E
metestrus/081820 119_3.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:37	172047	53E10233A518179DD797A8FD4BB71015
metestrus/081920 103_3.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	207972	06F409432DEF76DE65D3B8980012961D
metestrus/081920 106_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	189740	B169FD559D5AAE205C60E3CD4E040CE0
metestrus/081920 106_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	227046	3A0659FD2E8C1DD2EC436B4F4BE986B4
metestrus/081920 108_3.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	184543	FBA5FC3F0A644A9016B3E7791F35D51A
metestrus/081920 111_1.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	242309	612F4D87E8843D708A8F1AD8CEDF3C5C
metestrus/081920 111_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	239585	4C00B268C64D6379AD0F73A2A22680AC
metestrus/081920 111_3.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	232964	F864AD141793A40613A938DF5704DF62
metestrus/081920 112_2.jpg	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	24-Oct-2020 15:11:49	192643	DAE46608EFBD55D9D86CA30C30F76648
